Place,State,Rating(/5),Details,Landmarks,Starting Prices,Link
Gangtok,Sikkim,4.4,"Incredibly alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital of Sikkim, is one of the most popular hill stations in India. Lying at the height of 1650 m above sea level, the town during its bright sunny days offers spectacular views of Mt. Kanchenjunga. Gangtok is a base for adventure enthusiasts comprising of trekkers and campers to the Himalayan mountain ranges. During the months of March to Mid-May, blooming of wild Rhododendrons transform the surrounding regions in vast fields of colourful carpets.","['Nathula Pass', 'MG Road, Gangtok', 'Rumtek Monastery']","4,190",https://www.holidify.com/explore/places/gangtok/
Darjeeling,West Bengal,4.3,"Jaw-dropping locales, mesmerising sunrises, the untouched beauty of the hills, the old-world charm of the past, and the welcoming smiles of the local people all add up to make Darjeeling one of the most beautiful hill stations in Eastern part of India. Spread over a steep mountain ridge, nestled amidst acres of lush green tea plantations, Darjeeling stands at the height of 2,050 meters above sea level, thus boasting of cool climes all year round. This scenic hill station is the perfect getaway for a romantic honeymoon and is just around 700 kilometres away from Kolkata.","['Darjeeling Himalayan Railway', 'Tiger Hill', 'Batasia Loop']","5,260",https://www.holidify.com/explore/places/darjeeling/
Udaipur,Rajasthan,4.3,"Udaipur, also known as the City of Lakes, is the crown jewel of the state of Rajasthan. It is surrounded by the beautiful Aravalli Hills in all directions, making this city as lovely as it is. This 'Venice of the East' has an abundance of natural beauty, mesmerising temples and breathtaking architecture which makes it a must-visit destination in India.  A boat ride through the serene waters of Lake Pichola will be enough to prove to you why Udaipur is the pride of Rajasthan.","['Lake Pichola', 'City Palace, Udaipur', 'Fateh Sagar Lake']","5,228",https://www.holidify.com/explore/places/udaipur/
Mcleodganj,Himachal Pradesh,4.3,"Mcleodganj is a hill station near Dharamshala, popular among trekkers. Located in Kangra district, Mcleodganj's culture is a beautiful blend of Tibetan with some British influence.","['Bhagsu Falls', 'Namgyal Monastery', 'Bhagsunag Temple']","3,800",https://www.holidify.com/explore/places/mcleodganj/
Munnar,Kerala,4.5,"Munnar is a popular hill station of Kerala perched at an altitude of 1600 metres in the Western Ghats. Famous for its tea estates, various shades of green, blankets of mist forming natural-view points, Munnar is aptly known as the 'Kashmir of South India'.","['Top Station', 'Echo Point, Munnar', 'Atukkad Waterfalls']","1,900",https://www.holidify.com/explore/places/munnar/
Coorg,Karnataka,4.2,"Located amidst imposing mountains in Karnataka with a perpetually misty landscape, Coorg is a popular coffee producing hill station. It is popular for its beautiful green hills and the streams cutting right through them. It also stands as a popular destination because of its culture and people. The Kodavas, a local clan specializing in martial arts, are especially notable for their keen hospitality.","['Abbey Falls', 'Talakaveri', ""Raja's Seat""]","7,009",https://www.holidify.com/explore/places/coorg/
Manali,Himachal Pradesh,4.5,"One of the most popular hill stations in Himachal, Manali offers the most magnificent views of the Pir Panjal and the Dhauladhar ranges covered with snow for most parts of the year.","['Solang Valley', 'Rohtang Pass', 'Old Manali']","1,900",https://www.holidify.com/explore/places/manali/
Ooty,Tamil Nadu,4.2,"Nestled amidst Nilgiri hills, Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a top-rated tourist destination. Once regarded as the summer headquarters of the East India Company, the Queen of the hills is a picturesque getaway.","['Nilgiri Mountain Railway', 'Ooty Lake', 'Emerald Lake, Ooty']",NaN,https://www.holidify.com/explore/places/ooty/
Kasol,Himachal Pradesh,4.4,"Kasol is a quaint little village in Himachal situated along the banks of the river Parvati. Commonly known as the 'Amsterdam of India', Kasol is a tourist attraction that is rapidly gaining fame as a popular hub for trekkers, backpackers, and nature lovers. Kasol is situated 23 kms from Bhuntar and next to the religious town of Manikaran and is one of the best places in the country just to sit back and chill in the panorama of snow-clad mountains, pine trees and gurgling river.","['Parvati River', 'Chalal', 'Malana']","2,000",https://www.holidify.com/explore/places/kasol/
Shimla,Himachal Pradesh,4.2,"Shimla is the capital Himachal Pradesh in India and a popular hill-station among Indian families and honeymooners. Situated at the height of 2200m, Shimla was the summer capital of British India. Shimla still retains its old-world charm with beautiful colonial architecture, pedestrian-friendly Mall Road and the ridge lined up with multiple shops, cafes and restaurants.","['The Ridge', 'Mall Road, Shimla', 'Kufri']","6,500",https://www.holidify.com/explore/places/shimla/
Nainital,Uttarakhand,4.3,"Nainital is a charming hill station located at the foothills of the Kumaon ranges in Uttarakhand. Located close to Dehradun and Delhi, it is the most visited hill station in North India. Nainital is a perfect weekend getaway from Delhi and the nearby places.","['Naini Lake', 'Eco Cave Gardens', 'Snow View Point']","3,500",https://www.holidify.com/explore/places/nainital/
